,Review Rate,Review Time,Review Text
77, 5 stars ,a month ago,"So pretty sidewalk i love there, you can go for walk or have lot of peace watching the river"
78, 4 stars ,10 months ago,What a majestic looking place both at broad daylight and night time.
79, 5 stars ,8 months ago,Enjoy the retro ambience of this station and the ever-changing artwork in the subway. My photos show the art as at 17 February 2017.
80, 5 stars ,a year ago,Looks attractive with nightlights. This is the main gateway to catch train to any destination in Melbourne.
81, 5 stars ,2 months ago,This railway station is iconic. It is a cool stations which is very busy.
82, 5 stars ,3 years ago,Really cool and convenient train station with almost all the train go across. Will be a nightmare when in the busy time. Still good than any other train stations for taking a seat because it is the starting station for most train line
83, 4 stars ,3 months ago,An historical building that is quaint and charming but at the same time a little run down in appearance. Mod cons for railway information board are there. It is constrained by its heritage structure. Facilities is very well used and could …
84, 5 stars ,a year ago,Melbourne's main train hub and iconic station. The beginning and end to most journeys.
85, 3 stars ,2 years ago,"Flinders Street railway station is a railway station on the corner of Flinders and Swanston Streets.The art nouveau style building, with its prominent dome, arched entrance, tower and clocks is one of the city's most recognizable landmarks. …"
86, 5 stars ,4 months ago,Melbourne's architecture is breath taking
87, 5 stars ,3 years ago,The iconic tourist attraction in Melbourne. I hope I could have done a better photo shoot at the intersection for this building during Christmas season. It’s just so beautiful.
88, 4 stars ,6 months ago,"Bring back Ballroom dancing!
I remember being there many years ago - I believe it closed in 1982 or 1983. Nostalgic memories.. …"
89, 5 stars ,4 years ago,"On the number 11 tram (6043) at 15:33 on 10/08/2017 and the driver stopped the tram because he had a call from operations to find a lost phone. He had a bloody good search and found the phone. The guy isa legend, he could have just asked the customers, turned around and declared it lost, he didn't."
90, 4 stars ,2 years ago,"As a first timer in Melbourne from July 1-5, 2019, the station became my orientation hallmark. It looked gorgeous when it was lit up. I walked past it a couple of times to and from the South Bank!"
91, 5 stars ,9 months ago,"The most beautifully designed train station in Australia!! ""Practice makes perfect""as it took awhile to find my way around as it's so big too. But as I found my way around it's alot easier now. Close to museums & the art gallery-also:love …"
92, 4 stars ,10 months ago,"Trains are usually on time or close to when leaving (but not getting in). Trams, busses and trains leave from here, and it has a taxi rank. Toilets are always semi-clean and being cleaned.  Food and convenience stores, has a multi-level …"
93, 1 star ,7 months ago,"Morning commute = 1 hr 40 min because Melbourne trains hit a top speed of 3 km/h. I'm always late to work when I take the train, so I drive instead (only 30 minutes!!). Why would anyone take public transport? Also Upfield trains only run every 20 minutes during peaktime? Overhaul the system, this is insane"
94, 3 stars ,4 months ago,"I'm currently on Crutches, so using the disabled toilets, seems they don't like to lock properly, plus, don't get toilet paper or soap renewed regularly"
95, 4 stars ,a month ago,Always good we stepped out the front and see something Familiar of Melbourne
96, 2 stars ,4 months ago,Sign/information screens next to platform entrances are useless. I ended up standing next to the sign using Google maps to work out which platform to go to :(
97, 4 stars ,7 months ago,"very nice building, I remember when i first moved to melbourne this was my first site to see. The glorious site is still engrained within my memory. melbourne does it best, just mind the homeless men and the ratty children"
98, 5 stars ,4 years ago,A very central and easily navigated station. It's just too bad that they have got the entire thing wrapped up now for external renovations. Hopefully it'll look beautiful again when they are done.
99, 5 stars ,a year ago,Iconic Melbourne station. Great architecture of nineteenth century.
100, 5 stars ,2 months ago,"Clean, easy to read signage re train information and easy access to platforms"
101, 4 stars ,5 years ago,Very crowded station. there are a lot of food stands outside but very easy to navigate. Top up your miki there are a lot of officers checking if you tapped.
102, 5 stars ,a year ago,"Main station in Melbourne, almost every train is available from here and it's very near to Southbank."
103, 5 stars ,8 months ago,Flinders has a great atmosphere and location. Handy to St Kilda road and arts precinct and lots of yummy food like a bakery and Lord of the fries. Clean and quiet today 😁
104, 5 stars ,a year ago,"Easy, convenient and has everything you need to get to different places around Melbourne! It can be very crowded especially after business hours and weekends but is expected. Not to mention it's very picturesque outside and is one of Melbourne's location that you have to visit!"
105, 5 stars ,4 years ago,"Flinder street station Melbourne has been an iconic building of melbourne and a landmark of the city. Its laid in the heart of the city, backing on Yarra river. This wonderful architectural work was completely constructed in 1909 and ha been listed as Victoria heritage."
106, 5 stars ,2 months ago,Nice shops the bakery macarons where hands down the best thing I've had
107, 4 stars ,5 months ago,Should have a display for all the trains in the tunnel itself. It will be much easier 👌
108, 4 stars ,4 months ago,A.I. is no longer telling you the next train.  It is only telling you about the ones it is certain you can make.  No option for running to catch a train...
109, 5 stars ,5 years ago,This beautiful station is always packed with locals and tourists. Great place to meet when you are coming separately by train to hang out in the city.
110, 4 stars ,11 months ago,"Not a bad station overall, the toilets used to be disgusting but I think they fixed them now. Avoid at night time as well, lots of strange characters but otherwise perfectly fine during the day."
111, 5 stars ,3 years ago,One of the major icons of Australian history is this flinders street station. Beautiful looking at night. Clean and very well decorated.
112, 5 stars ,4 years ago,One of Melbourne’s iconic places. A good addition to your to-do list when you visit Melbourne and enjoy the free tram rides.
113, 5 stars ,6 months ago,I love Flinders Street Station. Such a beautiful historical site while also being a city hub.
114, 5 stars ,4 years ago,Very clean and well organised station always easy to find where you need to be and catch your train. Staff are very helpful and know what platform you need to be on.
115, 5 stars ,4 months ago,There's always a train at Flinders Street railway station. Always find my way home.
116, 4 stars ,a year ago,"Iconic Melbourne landmark.
The lost and found staff member had that ""people always lose stuff and we always don't have it so I probably wont have your lost item"" attidude. Had no other customer there but still could not be less interested in helping me."
117, 4 stars ,a year ago,This is one of two of Melbourne's main stations and is the hub for all Metro services. Also the Tralagon/Bairnsdale V-Line service stops here. The station dates back all the way to the 1850s and its design is really impressive. It's …
118, 4 stars ,3 months ago,Kept fairly clean and strong police presence. Staff are friendly and help with directions.
119, 3 stars ,8 months ago,"The Melbourne railway network layout is absolutely fantastic, but the operators are horrible. Even M>Train could do better."
120, 5 stars ,a year ago,Nice place to view it at night time and just watch that almost end of the day rush! Great place to have a great photo shot of this magnificent façade of the railway station. If you are a tourist here in Melbourne or never tried seeing it at …
121, 5 stars ,9 months ago,"Flinders Street railway station is located on the corner of Flinders and Swanston streets in the central business district (CBD) of Melbourne, Victoria, Australia. Opened in 1854, the historic station serves the entire metropolitan rail …"
122, 5 stars ,3 months ago,It's a train station lol. Easy to find the correct station
123, 5 stars ,a year ago,"The train routes are straight forward to follow, the staffs working there were very helpful with directions."
124, 5 stars ,6 months ago,"Love this station, great bike parking, got some handy guides for common destinations on the platforms"
125, 4 stars ,5 years ago,Good station with best connectivity to all regions of Melbourne. And a great place to sit and watch the world go by
126, 5 stars ,a year ago,"Flinders Street Station is Australia’s oldest train station, and with its prominent green copper dome, distinctive yellow facade, arched entrance, tower, and clocks, it is one of Melbourne's most recognisable landmarks. …"
127, 3 stars ,2 years ago,I love the new lights they have installed onto the outside of this marvellous building. Such an amazing piece of Melbourne history glad to see it looked after. I’ve never been into the upper levels not sure if it’s open to the public at all. Lots of trains connecting to this station
128, 5 stars ,2 years ago,What an amazing architectural design !! Must see when you visit Melbourne 😊
129, 4 stars ,5 years ago,"One of the most prominent landmarks in Melbourne, the center of the train network. The toilets will need an upgrade though. …"
130, 4 stars ,9 months ago,"One of the busiest train station in the world, 16 lines will meet at this station and it acts at an important station in Melbourne trains because all the trains will via this station."
131, 5 stars ,2 years ago,"Now trust me when I say. I love my train stations. And this is one of THE BEST I have been to. Station is big, but you can easily find out where you are going thanks to lots of electronic signs telling when the train is and what platform. …"
132, 5 stars ,a year ago,"Grate train station, toilets modatrlly clean, serves all metropolitan lines only v line it serves is tralgon-bainsdale line, quite clean overall. There are some food shops in there like lord of the fries …"
133, 5 stars ,a year ago,"This is my usual gateway into Melbourne. Well-laid out and well integrated into the city, with lots of amenities and catering options. Also features one of the most iconic buildings in the city!"
134, 5 stars ,2 years ago,I travelled few times through Flinders Station recently during my Melbourne trip. I find the station historic and well managed. The big screens inside the station are providing detailed information about the train timetable. …
135, 5 stars ,4 months ago,"Main station in city area, busiest, with all facilities."
136, 3 stars ,4 months ago,Nice and clean good place trains on schedule
137, 5 stars ,10 months ago,"Super convenient, and very beatiful station"
138, 5 stars ,7 months ago,Iconic and busy… has to be visited if you are in Melbourne. Be careful and social distance :)
139, 5 stars ,a year ago,"Flinders Street railway station is located on the corner of Flinders and Swanston streets in the central business district (CBD) of Melbourne, Victoria, Australia. Opened in 1854, the historic station serves the entire metropolitan rail …"
140, 4 stars ,2 years ago,The Flinders Street Station was the original main train hub before Southern Cross.  The building is a great example of Victorian architecture and a major Melbourne landmark. …
141, 5 stars ,a year ago,"Used to be dirty but due to COVID-19 the station is well maintained now. Lots of options when it comes to having quick food. Coffee shops, vegan burger joints, japanese eatery etc. There is a pharmacy as well where you can find anything for …"
142, 5 stars ,4 years ago,An iconic part of beautiful Melbourne. The station building itself is beautiful with various services available. …
143, 5 stars ,a year ago,Easy ti find train lines and tram and bus access. Have shops around...
144, 4 stars ,9 months ago,"FLINDERS STREET STATION..
Alway is first time.."
145, 4 stars ,3 years ago,Iconic Domed Railway And Metro Hub With A Yellow Facade And An Arched Entrance..
146, 5 stars ,2 years ago,Highly historic and superb architecture.  Amazing ambience brimming with trendy and busy crowd. Good security round the clock.  Superb stores and restaurants all throughout the day.  Absolutely historic and monumental for worldwide travellers to witness.
147, 5 stars ,4 months ago,The best and most vibrant station in Melbourne
148, 5 stars ,11 months ago,This station is big got lots of pop up shops so I would recommend it to people love it so much but it is busy so please take care wash or sanitise hands.
149, 5 stars ,4 years ago,"They have 9 platform
many exits
Be sure to have make the right exit"
150, 5 stars ,a year ago,One of the best stations i’ve ever seen!
151, 5 stars ,3 months ago,Awesome station best in the southern hemisphere.🚂🚄🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺
152, 4 stars ,2 years ago,"Great location, but they could do a bit better to keep the place clean. The flinders station has a lot of history and is definitely a must visit place if you are in Melbourne. Loved the vibe of the place when I visited last month."
153, 4 stars ,a year ago,"Last time i went here the toilets were disgraceful, other than that the original architecture is quite nice and theres actually a lot of amazing history to the building. Its good in the way that its very central as well."
154, 5 stars ,a month ago,Convenient commute and good frequency for travel
155, 4 stars ,2 years ago,"If you appreciate Melbourne's historical architecture, a trip via Flinders Street Station may be a bit more meaningful than otherwise. I really do enjoy gazing around the station and noting the preserved elements. …"
156, 4 stars ,3 years ago,The station is clean and it has a help desk with staff on sight. The departures boards are all electronic and the restrooms are alright.
157, 5 stars ,3 years ago,Great facilities and is keep very clean throughout the day. Plenty of area to move through crowds of people
158, 4 stars ,3 years ago,"One of the oldest train stations in Melbourne, it is one of the main interchanges in the city. Old but has character, and with most of the major tram routes accessible it is a very good place to start exploring the city. The City Circle …"
159, 5 stars ,a year ago,"Listen, to be completely honest with you, best train station 2021-forever. Might be a bit busy from time to time, but it's very good aesthetic. Train."
160, 5 stars ,2 years ago,"Been there in the my past travels, easy to follow and catch public trainsport . Tonight it looked amazing."
161, 5 stars ,3 years ago,"The inside of the station is very functional, but it is the outside that is worth the visit. I have read about the station over the years and always wanted to visit. It has changed significantly since my first reading. The outside is …"
162, 4 stars ,2 years ago,One of iconic train station in Australia. All train lead to Flinder street station.
163, 5 stars ,a year ago,Flinders Street Railway Station is a landmark to stop by if you are in Melbourne. It has this heritage architecture and the clocks look good too! It is actually a tram/metro trains.
164, 5 stars ,2 years ago,We recently travelled to Melbourne for a family gathering and graduation. Unfortunately I did not grab the young man's name but the customer service officer (ticket sales) at Flinders Street Station was welcoming and provided exceptional …
165, 5 stars ,3 years ago,My favorite station in Melbourne. It was built in 1905 and at some point it was the busiest train station in the world... it's right on the Flinders street / Yarra River... well connected to all the Melbourne metropolitan stations... its worth a visit to see this great building even if you don't want to catch a train
166, 5 stars ,3 weeks ago,Easy to navigate around station
167, 5 stars ,2 months ago,"Well maintained, safe, iconic."
168, 5 stars ,2 years ago,Historical Railway station in the heart of Melbourne
169, 5 stars ,3 years ago,My favorite station of Australia in Melbourne
170, 5 stars ,2 years ago,"Flinders St Station is without doubt the heart of Melbourne, the iconic heritage building is the first thing people think of when researching the city. …"
171, 5 stars ,2 years ago,From the time I was a small child this place was an icon and as a young woman I would catch the train from the burbs into the city on the old red rattlers. Then it was the blue trains and now the more modern trains. The trams that pass by …
172, 5 stars ,a year ago,I love this station. A Melbourne landmark. Great for photos and a pub/cafe across the road. If you want to visit Melbourne get off the train at this station 👍🏻🚂
173, 5 stars ,3 years ago,"Iconic railway station, every visit here I seem to stumble across it somehow!"
174, 4 stars ,a year ago,"Iconic railway station, and it is still not redundant to ask someone to ""meet under the clocks."" Bathrooms could use improvements."
175, 5 stars ,3 years ago,"Flinders Street station has always been a symbol of Melbourne and is one icon that has remained the same, (at least predominantly on the outside), as much of the rest within, has certainly changed. Having grown up in Melbourne and not …"
176, 5 stars ,4 years ago,Well maintained station & they have got all the facilities
177, 5 stars ,a year ago,"The tremendous Flinders Street Station, it's such a wonderful station. Tony Robinson recommended to visit this lovely station on his Youtube channel. I really love the station, love the clock too on Flinders Street Station. I'll be back soon! :)"
178, 4 stars ,a year ago,"Flinders Street has been well refurbished, one of Melbournes must see buildings as it brings out history to the modern day."
179, 5 stars ,3 months ago,Centre and always packed. Catch the train and trams near by.
180, 5 stars ,5 years ago,"The facade of this building is absolutely gorgeous. Easily one of the photogenic buildings in Melbourne.
Station is at ground level with external platforms just below allowing for very quick street to platform access. There are also several secondary entrances and public toilets."
181, 5 stars ,2 years ago,Beautiful iconic building. Also very pretty when lit up.
182, 4 stars ,5 years ago,Great architecture with the 4th longest platform in the world..Nearly 1/2 mile long!
183, 5 stars ,10 months ago,A train station that looks nice from the outside and has food/toilets inside. I mean how do I review that? Good I guess?
184, 5 stars ,2 years ago,Flinders is the hub for the metro trains network. Almost every service originates or passes through Flinders granting commuters the possibility to go anywhere. Customer service is excellent with staff spread around the station everywhere …
185, 4 stars ,2 years ago,So pretty! Located on the corner of Flinders St and Swanston St. First station in Austrailia and the busiest in the world! I passed by in September 2015 around 5pm and it was definitely busy. This place has a lot of history and I wish to go back one day
186, 2 stars ,2 years ago,"Ancient and falling apart. Needs a great big update including re instating alll platforms and building more. Subway entrances are too narrow and putrid. Food outlets are trashy, expensive and undesirable. We need a good restaurant with views, perhaps using the former ball room."
187, 3 stars ,3 years ago,It's a great hub for trains but it's a stinky dirty place. On one hand there are great food options here for takeaway of every taste but the toilets are honestly for nobody's taste. Platform 13 is a great clandestine find. Lots of places link here. Do yourself a favour and NEVER EVER use the toilets here.
188, 5 stars ,2 years ago,"Very good station. Open and friendly. Easy to navigate.
I love what they’ve done with the new digital timing/schedule boards - its very easy to read and the colours are great!
Staff is always friendly and helpful."
189, 5 stars ,2 years ago,The best train Station in Melbourne it take out around anywhere in city the most iconic place hope my government will not changed it many people uses it Student tourist older people who love to visit the city for activities to see …
190, 5 stars ,10 months ago,Visiting the Flinders St Station ballroom was like stepping back in time. Pity only money has been spent on facade when the inside is also a state treasure.
191, 4 stars ,5 years ago,"good station and friendly staff. if you plan to visit the restrooms bring your own tongs to pick the used condoms out of the sink. interesting heritage building, and the clocks make a great place to meet friends."
192, 4 stars ,3 years ago,Oldest train station in Melbourne and one of the building that is still as it is from the past. Nice architecture and the main station in melbourne which almost all trains pass this station. Very crowded during peak hours but very easy …
193, 5 stars ,a year ago,"Bustling station. One of the most oldest, yet busiest stations in Melbourne to get to the city. Expect a crowd and a half haha."
194, 5 stars ,3 years ago,"It’s part of the city's history and a must see Amazing architecture, if you love buildings this is definitely worth visiting, even if you do not go in it is great. All important places are located nearby viz. Melbourne cricket ground, Victoria market, Old coffee house etc."
195, 5 stars ,3 years ago,"How could you not like this lovely historic building. I really Love the ballroom dome , it's a shame they don't open it to public, Friendly staff and it is great to have the PSO and also manned by police, Lovely take away , from fast food …"
196, 4 stars ,4 years ago,"Good clean toilets, very helpful in guiding you to replacement buses. Floors clean."
197, 5 stars ,2 years ago,"Incredible station in the center of the Melbourne CBD, serving the entire metropolitan rail network. The station's main building was built in 1909 and is listed on the Victorian Heritage Register. Flinders street station was the first …"
198, 5 stars ,7 months ago,"Busy station, beautiful architecture in the center, very convenient for travel."
199, 5 stars ,4 years ago,"It’s part of the city's history and a must see Amazing architecture, if you love buildings this is definitely worth visiting, even if you do not go in it is great. All important places are located nearby viz. Melbourne cricket ground, Victoria market, Old coffee house etc."
200, 4 stars ,5 years ago,"always loved this station due to its architecture, hustle n bustle and enviroment"
